,Date,Open,High,Low,Close,Adj Close,Volume,Open_Change,Gain_Loss_Open
81.0,723281,0.086496,0.086496,0.085938,0.085938,0.06746,23811200.0,-0.0050219999999999996,0
82.0,723282,0.08482100000000001,0.085379,0.08482100000000001,0.08482100000000001,0.066583,137155200.0,-0.001675,0
83.0,723283,0.12444200000000001,0.125,0.12444200000000001,0.12444200000000001,0.09768500000000001,16060800.0,0.039620999999999996,1
84.0,723284,0.12444200000000001,0.125,0.12444200000000001,0.12444200000000001,0.09768500000000001,6652800.0,0.0,1
85.0,723285,0.118862,0.118862,0.11830399999999999,0.11830399999999999,0.09286599999999999,34048000.0,-0.00558,0
86.0,723286,0.11216500000000001,0.11216500000000001,0.111607,0.111607,0.087609,23878400.0,-0.006697,0
87.0,723290,0.114955,0.115513,0.114955,0.114955,0.090238,35347200.0,0.00279,1
88.0,723291,0.122768,0.123326,0.122768,0.122768,0.096371,28537600.0,0.007812999999999999,1
89.0,723292,0.12723199999999998,0.12779000000000001,0.12723199999999998,0.12723199999999998,0.099875,18995200.0,0.004464,1
90.0,723293,0.13058,0.131138,0.13058,0.13058,0.102503,58016000.0,0.003348,1
91.0,723294,0.13058,0.13058,0.12946400000000002,0.12946400000000002,0.101627,35056000.0,0.0,1
92.0,723297,0.128906,0.128906,0.128348,0.128348,0.100751,38528000.0,-0.001674,0
93.0,723298,0.126674,0.126674,0.126116,0.126116,0.098999,32188800.0,-0.002232,0
94.0,723299,0.125,0.125,0.12444200000000001,0.12444200000000001,0.09768500000000001,13641600.0,-0.001674,0
95.0,723300,0.126674,0.12779000000000001,0.126674,0.126674,0.099437,12611200.0,0.001674,1
96.0,723301,0.151228,0.151228,0.15067,0.15067,0.118273,35728000.0,0.024554,1
97.0,723302,0.12779000000000001,0.128906,0.12779000000000001,0.12779000000000001,0.100313,7929600.0,-0.023438,0
98.0,723303,0.11607100000000001,0.11607100000000001,0.115513,0.115513,0.09067599999999999,5376000.0,-0.011719,0
99.0,723305,0.126116,0.126116,0.125558,0.125558,0.098561,17539200.0,0.010045,1
100.0,723306,0.141741,0.141741,0.141183,0.141183,0.110826,57680000.0,0.015625,1
101.0,723308,0.115513,0.11607100000000001,0.115513,0.115513,0.09067599999999999,17494400.0,-0.026227999999999998,0
102.0,723310,0.07589299999999999,0.07700900000000001,0.07589299999999999,0.07589299999999999,0.059575,43097600.0,-0.039619999999999995,0
103.0,723311,0.08035700000000001,0.08035700000000001,0.079799,0.079799,0.062641,23363200.0,0.004464,1
104.0,723313,0.12220999999999999,0.123326,0.121652,0.121652,0.09549500000000001,4905600.0,0.041852999999999994,1
105.0,723314,0.12109400000000001,0.12109400000000001,0.119978,0.119978,0.094181,4928000.0,-0.001116,0
106.0,723315,0.122768,0.12444200000000001,0.122768,0.122768,0.096371,4905600.0,0.001674,1
107.0,723318,0.125,0.126116,0.125,0.125,0.098123,4166400.0,0.002232,1
108.0,723319,0.123326,0.123326,0.122768,0.122768,0.096371,25424000.0,-0.001674,0
109.0,723320,0.126674,0.12779000000000001,0.126674,0.126674,0.099437,13283200.0,0.003348,1
110.0,723321,0.133929,0.134487,0.133929,0.133929,0.10513199999999999,32211200.0,0.007254999999999999,1
111.0,723322,0.140067,0.141183,0.140067,0.140067,0.10995,31427200.0,0.006138,1
112.0,723326,0.140067,0.140067,0.139509,0.139509,0.10951199999999998,85344000.0,0.0,1
113.0,723327,0.147321,0.14787899999999998,0.147321,0.147321,0.11564400000000001,149497600.0,0.007254000000000001,1
114.0,723328,0.147321,0.14787899999999998,0.147321,0.147321,0.11564400000000001,73987200.0,0.0,1
115.0,723329,0.14787899999999998,0.14843800000000001,0.14787899999999998,0.14787899999999998,0.11608199999999999,59382400.0,0.000558,1
116.0,723332,0.144531,0.144531,0.143973,0.143973,0.113016,45158400.0,-0.003348,0
117.0,723333,0.128348,0.128906,0.128348,0.128348,0.100751,13865600.0,-0.016183000000000003,0
118.0,723334,0.115513,0.115513,0.114397,0.114397,0.0898,11603200.0,-0.012835,0
119.0,723335,0.116629,0.116629,0.11607100000000001,0.11607100000000001,0.091114,22803200.0,0.001116,1
120.0,723336,0.122768,0.122768,0.12220999999999999,0.12220999999999999,0.095933,18950400.0,0.006139,1
121.0,723338,0.11216500000000001,0.11216500000000001,0.111049,0.111049,0.087171,16531200.0,-0.010603,0
122.0,723339,0.11328099999999999,0.11328099999999999,0.112723,0.112723,0.08848500000000001,10528000.0,0.001116,1
123.0,723341,0.07589299999999999,0.07589299999999999,0.075335,0.075335,0.059137,28358400.0,-0.037388,0
124.0,723342,0.08035700000000001,0.080915,0.08035700000000001,0.08035700000000001,0.063079,24595200.0,0.004464,1
125.0,723346,0.14508900000000002,0.14508900000000002,0.144531,0.144531,0.113454,143763200.0,0.06473200000000001,1
126.0,723347,0.142299,0.142299,0.141741,0.141741,0.11126400000000002,37251200.0,-0.00279,0
127.0,723348,0.140067,0.140067,0.139509,0.139509,0.10951199999999998,27574400.0,-0.002232,0
128.0,723349,0.139509,0.140067,0.138951,0.138951,0.109074,23049600.0,-0.000558,0
129.0,723350,0.135603,0.135603,0.135045,0.135045,0.10600799999999999,27507200.0,-0.003906,0
130.0,723353,0.13058,0.13058,0.130022,0.130022,0.102065,10841600.0,-0.005023,0
131.0,723354,0.13225399999999998,0.13337100000000002,0.13225399999999998,0.13225399999999998,0.103817,15030400.0,0.001674,1
132.0,723355,0.130022,0.130022,0.128906,0.128906,0.101189,23027200.0,-0.002232,0
133.0,723356,0.131696,0.13225399999999998,0.131696,0.131696,0.103379,24259200.0,0.001674,1
134.0,723357,0.131138,0.131138,0.130022,0.130022,0.102065,23788800.0,-0.000558,0
135.0,723360,0.126674,0.126674,0.125558,0.125558,0.098561,10595200.0,-0.004464,0
136.0,723361,0.116629,0.116629,0.11607100000000001,0.11607100000000001,0.091114,35907200.0,-0.010045,0
137.0,723362,0.13839300000000002,0.13839300000000002,0.13783499999999999,0.13783499999999999,0.108198,55686400.0,0.021764,1
138.0,723365,0.115513,0.115513,0.114955,0.114955,0.090238,10684800.0,-0.02288,0
139.0,723366,0.123884,0.12444200000000001,0.123884,0.123884,0.097247,9363200.0,0.008371,1
140.0,723368,0.11216500000000001,0.11328099999999999,0.11216500000000001,0.11216500000000001,0.088047,15836800.0,-0.011719,0
141.0,723369,0.112723,0.11328099999999999,0.112723,0.112723,0.08848500000000001,9206400.0,0.000558,1
142.0,723371,0.079799,0.080915,0.079799,0.079799,0.062641,38841600.0,-0.032924,0
143.0,723373,0.085379,0.085938,0.085379,0.085379,0.067021,59292800.0,0.00558,1
144.0,723374,0.101563,0.102121,0.101563,0.101563,0.079725,45740800.0,0.016184,1
145.0,723375,0.106027,0.107143,0.106027,0.106027,0.083229,19779200.0,0.004464,1
146.0,723376,0.10881700000000001,0.109375,0.10881700000000001,0.10881700000000001,0.08541900000000001,10953600.0,0.00279,1
147.0,723377,0.111607,0.112723,0.111607,0.111607,0.087609,15232000.0,0.00279,1
148.0,723378,0.115513,0.11607100000000001,0.115513,0.115513,0.09067599999999999,19824000.0,0.003906,1
149.0,723381,0.108259,0.108259,0.107701,0.107701,0.084543,23654400.0,-0.007254000000000001,0
150.0,723382,0.107701,0.107701,0.107143,0.107143,0.084105,31942400.0,-0.000558,0
151.0,723383,0.102121,0.102121,0.101004,0.101004,0.079286,22668800.0,-0.00558,0
152.0,723384,0.103795,0.104353,0.103795,0.103795,0.081477,34451200.0,0.001674,1
153.0,723385,0.107143,0.107701,0.107143,0.107143,0.084105,28851200.0,0.003348,1
154.0,723388,0.111607,0.11216500000000001,0.111607,0.111607,0.087609,17337600.0,0.004464,1
155.0,723389,0.108259,0.108259,0.107701,0.107701,0.084543,22848000.0,-0.003348,0
156.0,723390,0.10658499999999999,0.10658499999999999,0.106027,0.106027,0.083229,15500800.0,-0.001674,0
157.0,723391,0.10993299999999999,0.111049,0.10993299999999999,0.10993299999999999,0.08629500000000001,9900800.0,0.003348,1
158.0,723392,0.111607,0.11216500000000001,0.111607,0.111607,0.087609,10953600.0,0.001674,1
159.0,723393,0.135603,0.135603,0.135045,0.135045,0.10600799999999999,39827200.0,0.023996,1
160.0,723396,0.12053599999999999,0.121652,0.12053599999999999,0.12053599999999999,0.094618,21952000.0,-0.015066999999999999,0
161.0,723397,0.125,0.125558,0.125,0.125,0.098123,7907200.0,0.004464,1
